title,url,date
Hades II,https://store.steampowered.com/app/1145350/Hades_II/?snr=1_7_7_7000_150_1,2024년 5월 7일
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,2017년 12월 21일
DJMAX RESPECT V,https://store.steampowered.com/app/960170/DJMAX_RESPECT_V/?snr=1_7_7_7000_150_1,2020년 3월 12일
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_1,2024년 5월 8일
Ghost of Tsushima 디렉터스 컷,https://store.steampowered.com/app/2215430/Ghost_of_Tsushima/?snr=1_7_7_7000_150_1,2024년 5월 17일
Apex 레전드™,https://store.steampowered.com/app/1172470/Apex/?snr=1_7_7_7000_150_1,2020년 11월 5일
Limbus Company,https://store.steampowered.com/app/1973530/Limbus_Company/?snr=1_7_7_7000_150_1,2023년 2월 27일
이터널 리턴,https://store.steampowered.com/app/1049590/_/?snr=1_7_7_7000_150_1,2023년 7월 20일
ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,2022년 2월 25일
Homeworld 3,https://store.steampowered.com/app/1840080/Homeworld_3/?snr=1_7_7_7000_150_1,2024년 5월 14일
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,2012년 8월 22일
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_7000_150_1,2022년 1월 19일
Hades,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_7000_150_1,2020년 9월 17일
DARK SOULS™ III,https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_7000_150_1,2016년 4월 12일
DARK SOULS III Deluxe Edition,https://store.steampowered.com/sub/94174/?snr=1_7_7_7000_150_1,2016년 4월 12일
HELLDIVERS™ 2,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1,2024년 2월 8일
Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1,2015년 4월 14일
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_7000_150_1,2020년 9월 2일
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1,2023년 8월 4일
Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_1,2016년 5월 10일
eFootball™ 2024,https://store.steampowered.com/app/1665460/eFootball_2024/?snr=1_7_7_7000_150_1,2021년 9월 30일
Dying Light,https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_7000_150_1,2016년 4월 22일
EA SPORTS FC™ 24,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_7000_150_1,2023년 9월 29일
Palworld / 팰월드,https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_7000_150_1,2024년 1월 19일
Company of Heroes 3,https://store.steampowered.com/app/1677280/Company_of_Heroes_3/?snr=1_7_7_7000_150_1,2023년 2월 24일
크로노 아크,https://store.steampowered.com/app/1188930/_/?snr=1_7_7_7000_150_1,2024년 5월 3일
GrandChase,https://store.steampowered.com/app/985810/GrandChase/?snr=1_7_7_7000_150_1,2021년 7월 28일
麻雀一番街,https://store.steampowered.com/app/1954420/_/?snr=1_7_7_7000_150_1,2022년 9월 8일
RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_7000_150_1,2018년 10월 17일
데스티니 가디언즈,https://store.steampowered.com/app/1085660/_/?snr=1_7_7_7000_150_1,2019년 10월 2일
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_7000_150_1,2024년 4월 10일
Football Manager 2024,https://store.steampowered.com/app/2252570/Football_Manager_2024/?snr=1_7_7_7000_150_1,2023년 11월 7일
Lethal Company,https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_7000_150_1,2023년 10월 24일
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1,2013년 3월 26일
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_1,2016년 2월 27일
The Sims™ 4,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_7000_150_1,2020년 6월 19일
디아블로® IV,https://store.steampowered.com/app/2344520/_IV/?snr=1_7_7_7000_150_1,2023년 10월 18일
Total War: WARHAMMER III,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,2022년 2월 17일
Ratchet & Clank: Rift Apart,https://store.steampowered.com/app/1895880/Ratchet__Clank_Rift_Apart/?snr=1_7_7_7000_150_1,2023년 7월 26일
Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/?snr=1_7_7_7000_150_1,2023년 5월 3일
Overcooked! 2,https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_7000_150_1,2018년 8월 8일
ANIMAL WELL,https://store.steampowered.com/app/813230/ANIMAL_WELL/?snr=1_7_7_7000_150_1,2024년 5월 9일
컨커러스 블레이드,https://store.steampowered.com/app/835570/_/?snr=1_7_7_7000_150_1,2020년 4월 6일
DARK SOULS™: REMASTERED,https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_7000_150_1,2018년 5월 24일
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,2013년 7월 10일
Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,2020년 12월 10일
Manor Lords 매너 로드,https://store.steampowered.com/app/1363080/Manor_Lords/?snr=1_7_7_7000_150_1,2024년 4월 26일
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1,2013년 8월 15일
It Takes Two,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_1,2021년 3월 26일
The Binding of Isaac: Rebirth,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_7000_150_1,2014년 11월 5일
스노우 브레이크: 포비든 존,https://store.steampowered.com/app/2668080/_/?snr=1_7_7_7000_150_2,2023년 12월 25일
Cities: Skylines,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_7000_150_2,2015년 3월 11일
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_7000_150_2,2015년 12월 2일
Super Bunny Man,https://store.steampowered.com/app/673750/Super_Bunny_Man/?snr=1_7_7_7000_150_2,2023년 5월 17일
Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_7000_150_2,2016년 6월 15일
Oxygen Not Included,https://store.steampowered.com/app/457140/Oxygen_Not_Included/?snr=1_7_7_7000_150_2,2019년 7월 31일
철권 8,https://store.steampowered.com/app/1778820/_8/?snr=1_7_7_7000_150_2,2024년 1월 26일
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_7000_150_2,2013년 11월 9일
Content Warning,https://store.steampowered.com/app/2881650/Content_Warning/?snr=1_7_7_7000_150_2,2024년 4월 2일
Darkest Dungeon®,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_7000_150_2,2016년 1월 20일
Kena: Bridge of Spirits,https://store.steampowered.com/app/1954200/Kena_Bridge_of_Spirits/?snr=1_7_7_7000_150_2,2022년 9월 27일
Victoria 3,https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_7000_150_2,2022년 10월 26일
Barony,https://store.steampowered.com/app/371970/Barony/?snr=1_7_7_7000_150_2,2015년 6월 24일
Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_7000_150_2,2017년 9월 15일
히어로 랜드（Hero's Land）,https://store.steampowered.com/app/2349820/_Heros_Land/?snr=1_7_7_7000_150_2,2023년 5월 18일
소울워커,https://store.steampowered.com/app/1825750/_/?snr=1_7_7_7000_150_2,2022년 3월 17일
PowerWash Simulator,https://store.steampowered.com/app/1290000/PowerWash_Simulator/?snr=1_7_7_7000_150_2,2022년 7월 15일
Pixel Gun 3D: PC Edition,https://store.steampowered.com/app/2524890/Pixel_Gun_3D_PC_Edition/?snr=1_7_7_7000_150_2,2024년 4월 3일
트리 오브 세이비어,https://store.steampowered.com/app/2178420/_/?snr=1_7_7_7000_150_2,2022년 12월 26일
여귀교2: 자유로운 영혼의 길,https://store.steampowered.com/app/2331330/2/?snr=1_7_7_7000_150_2,2024년 5월 9일
Sid Meier's Civilization® V,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/?snr=1_7_7_7000_150_2,2010년 9월 24일
아세토 코르사컴페티치오네 Assetto Corsa Competizione,https://store.steampowered.com/app/805550/__Assetto_Corsa_Competizione/?snr=1_7_7_7000_150_2,2019년 5월 30일
GTFO,https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_7000_150_2,2021년 12월 10일
게이트키퍼,https://store.steampowered.com/app/2106670/_/?snr=1_7_7_7000_150_2,2024년 5월 13일
