title,url,date,tag,K-E,description,company,publisher,platform
Hades II,https://store.steampowered.com/app/1145350/Hades_II/?snr=1_7_7_7000_150_1,2024년 05월 07일,"액션,RPG,로그라이크,액션 로그라이크,신화",Hades II,수상 경력에 빛나는 로그라이크 던전 크롤러의 매혹적인 속편에서 어둠의 마법을 펼치며 시간의 티탄에게 맞서 지하세계 너머에서 전투를 벌이세요.,Supergiant Games,Supergiant Games,steam
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,2017년 12월 21일,"생존,슈팅,배틀 로얄,멀티플레이어,PvP",PUBG: BATTLEGROUNDS,PUBG: BATTLEGROUNDS를 무료로 플레이 하세요. 다양한 전장에서 전략적 위치를 선점하고 무기와 장비를 확보해 최후의 1인이 되기 위한 생존의 사투를 펼칩니다. 친구들과 함께 팀을 만들어 배틀로얄 건플레이 장르의 선구자인 PUBG: BATTLEGROUNDS만이 선사하는 긴장감 넘치는 경험을 위해 도전하세요.,"KRAFTON, Inc.","KRAFTON, Inc.",steam
DJMAX RESPECT V,https://store.steampowered.com/app/960170/DJMAX_RESPECT_V/?snr=1_7_7_7000_150_1,2020년 03월 12일,"리듬,캐주얼,음악,액션,스포츠,애니메이션",DJMAX RESPECT V,최고의 인기 리듬게임 “DJMAX” 드디어 STEAM 출시!! DJMAX 시리즈의 최신작 'DJMAX RESPECT'가 더 발전된 모습으로 스팀에 첫 발을 내딛습니다.,NEOWIZ,NEOWIZ,steam
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_1,2024년 05월 08일,"생존,오픈 월드,기지 건설,뱀파이어,크래프팅",V Rising,뱀파이어로서 깨어나 인근 거주지에서 피 사냥을 통해 힘을 회복합니다. 치명적인 뜨거운 햇빛을 피하고 자신만의 성채를 건설하고 끊임없이 변화하는 신비로운 오픈 세계에서 발전합시다. 온라인에서 동맹군을 찾아 생존자의 땅을 정복하세요.,Stunlock Studios,Stunlock Studios,steam
Apex 레전드™,https://store.steampowered.com/app/1172470/Apex/?snr=1_7_7_7000_150_1,2020년 11월 05일,"무료 플레이,배틀 로얄,멀티플레이어,1인칭 슈팅","Apex Legends™,Apex 레전드™","Apex 레전드는 Respawn Entertainment에서 제작한 다양한 수상 경력을 자랑하는 무료 플레이 히어로 슈팅 게임입니다. 게임에 계속해서 추가되는 레전드 캐릭터들의 강력한 능력을 마스터하고 깊이 있는 전술적 분대 플레이, 새롭게 진화하는 게임플레이를 지닌 히어로 슈팅과 배틀 로얄의 혁신을 경험하세요.",Respawn,Electronic Arts,steam
Ghost of Tsushima 디렉터스 컷,https://store.steampowered.com/app/2215430/Ghost_of_Tsushima/?snr=1_7_7_7000_150_1,2024년 05월 17일,"액션,어드벤처,오픈 월드,3인칭,액션 RPG","Ghost of Tsushima DIRECTOR'S CUT,Ghost of Tsushima 디렉터스 컷","폭풍이 몰려옵니다. PC에서 완전한 Ghost of Tsushima 디렉터스 컷의 세계로 모험을 떠나세요. 이 오픈 월드 액션 어드벤처 게임에서 나만의 길을 개척하고 숨겨진 경이를 발견하세요. Sucker Punch Productions, Nixxes Software 및 PlayStation Studios가 제공합니다.",Sucker Punch Productions,PlayStation PC LLC,steam
이터널 리턴,https://store.steampowered.com/app/1049590/_/?snr=1_7_7_7000_150_1,2023년 07월 20일,"무료 플레이,애니메이션,MOBA,멀티플레이어","Eternal Return,이터널 리턴","이터널 리턴은 쿼터뷰 스타일의 무료 배틀로얄 게임입니다. 제작, 사냥, 전투 그리고 멋진 캐릭터들을 경험해보시고 생존을 위한 전략적인 판단, 화려한 전투 플레이로 영원히 반복되는 실험에서 최후의 생존자가 되십시오.",Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE)",steam
ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,2022년 02월 25일,"소울라이크,다크 판타지,오픈 월드,RPG,액션",ELDEN RING,"본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다.",FromSoftware Inc.,FromSoftware Inc.,steam
Limbus Company,https://store.steampowered.com/app/1973530/Limbus_Company/?snr=1_7_7_7000_150_1,2023년 02월 27일,"깊은 세계관,풍부한 스토리,RPG,턴제 전술",Limbus Company,"림버스 컴퍼니의 관리자가 되어 12명의 수감자를 이끌고, 폐쇄된 로보토미 코퍼레이션 지부로 들어가 황금가지를 탈환하세요.",ProjectMoon,ProjectMoon,steam
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_7000_150_1,2022년 01월 19일,"카드 게임,무료 플레이,전략,트레이딩 카드 게임",Yu-Gi-Oh! Master Duel,사상 최고봉의 디지털 카드 게임으로!,KONAMI,KONAMI,steam
