title,url,date,tag,K-E,description,company,publisher,thumb,screenshot,platform
Muse Dash,https://store.steampowered.com/app/774171/Muse_Dash/?snr=1_7_7_7000_150_8,2019년 6월 20일,"음악,리듬,애니메이션,귀여운,선정적인 내용",Muse Dash,바로 열혈 파쿠르와 전통 리듬게임이 조화를 이룬 세계 ★★★ —— “Muse Dash “입니다!!,peropero,hasuhasu,https://steamcdn-a.akamaihd.net/steam/apps/774171/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_08637a7ac0fb40479d0ad69c78e49805641644e3.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_2c2433413895c9d90ce5e7e31d81e963a2238bc3.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_ab029483f2e7341ac621540794e4d372acd02213.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_a8d9434bb3ecdfd3100f3d24f4ba7b6ebe36427b.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_a35acedc51f199976e7941a62369a0d0b5c819d7.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_3425f1c8c40a754a5a4ed7b97f08857e96d8a526.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_ebdfd02f12d25a2f4eaed8ccbd292ecca529ed70.116x65.jpg?t=1706497719,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/774171/ss_dd0644b0561f4d6a4c2555796babc72e280029ec.116x65.jpg?t=1706497719",steam
What Remains of Edith Finch,https://store.steampowered.com/app/501300/What_Remains_of_Edith_Finch/?snr=1_7_7_7000_150_8,2017년 4월 25일,"풍부한 스토리,분위기 있는,걷기 시뮬레이션",What Remains of Edith Finch,"What Remains of Edith Finch(워트 리메인스 오브 에디스 핀치)는 워싱턴 주에 있는 어느 가족에 대한 이상한 이야기의 모음입니다. 플레이어는 에디스가 되어 거대한 핀치 가택을 탐사하고, 가족사를 연구하며 이야기를 찾고, 왜 가족 중에서 그녀만 살아남았는지 알아내야 합니다. 각 이야기는 새로운 가족 구성원이 죽던 날의 삶을 체험하게 해주며, 이러한 이야기들은 먼 과거에서 현재까지 흩어져 있습니다.",Giant Sparrow,Annapurna Interactive,https://steamcdn-a.akamaihd.net/steam/apps/501300/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/501300/ss_5e17b98cf2effabcb74aedc537ef3d68578b5c66.116x65.jpg?t=1709320869,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/501300/ss_b33a742463deb8564a382e1744febceaa91a5bab.116x65.jpg?t=1709320869,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/501300/ss_cc50bb10f1858d16a4df684f4dd264bda5d432ba.116x65.jpg?t=1709320869,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/501300/ss_77ebb61562a25dbcd0c4cc1c5090b76a76a055b2.116x65.jpg?t=1709320869,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/501300/ss_7a68ff5a7b3e6c85ab89f9bbf549a0232281bd19.116x65.jpg?t=1709320869",steam
Remnant: From the Ashes,https://store.steampowered.com/app/617290/Remnant_From_the_Ashes/?snr=1_7_7_7000_150_8,2019년 8월 20일,"소울라이크,액션,협동,RPG,어드벤처,슈팅",Remnant: From the Ashes,"The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes of deadly enemies to try to carve a foothold, rebuild, and retake what was lost.",Gunfire Games,Arc Games,https://steamcdn-a.akamaihd.net/steam/apps/617290/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/617290/ss_6d234391191327ff664161d190ef2eb0118d3477.116x65.jpg?t=1712608501,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/617290/ss_6a3c7966f9e2409b6ec089ad310f5abcdbbbef68.116x65.jpg?t=1712608501,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/617290/ss_aa51593d90511e17d043c0bee2fdca252fcced17.116x65.jpg?t=1712608501,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/617290/ss_452648c888ce4a031e5fdd6c5322ab554b8d0e51.116x65.jpg?t=1712608501,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/617290/ss_c6ffebb1ce67bf2715167b2d3150c6e59427a50f.116x65.jpg?t=1712608501",steam
Rooftops & Alleys: The Parkour Game,https://store.steampowered.com/app/2703850/Rooftops__Alleys_The_Parkour_Game/?snr=1_7_7_7000_150_8,2024년 5월 22일,"시뮬레이션,스포츠,파쿠르,3D 플랫폼,탐험",Rooftops & Alleys: The Parkour Game,"Ever felt like the world was missing that one Parkour/Freerunning game? That game that scratches that itch that other games just don't? Rooftops & Alleys aka TheParkourGame is here to deliver! In this game, there's is no 'hold button to parkour' mentality. Here, you, the player is in control!",MLMEDIA,MLMEDIA,https://steamcdn-a.akamaihd.net/steam/apps/2703850/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2703850/ss_856b5beff92b4146dbb33883a24c5913f76c8306.116x65.jpg?t=1716307228,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2703850/ss_b73ced5460f980911451504f1e6c65e013f1301a.116x65.jpg?t=1716307228,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2703850/ss_4db61d1a823f7f355825daebde26b1f1163e3693.116x65.jpg?t=1716307228,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2703850/ss_0fa8f0d72fd93b49963c1bf10540479a74afcc26.116x65.jpg?t=1716307228,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2703850/ss_eda08a8e15746528b4b2374992815303c479ef05.116x65.jpg?t=1716307228",steam
STALCRAFT,https://store.steampowered.com/app/1818450/STALCRAFT/?snr=1_7_7_7000_150_8,2022년 12월 10일,"무료 플레이,1인칭 슈팅,MMORPG,멀티플레이어",STALCRAFT,"STALCRAFT is a dynamic MMOFPS with survival horror elements, set in the open world of the Chernobyl Exclusion Zone.",EXBO,EXBO,https://steamcdn-a.akamaihd.net/steam/apps/1818450/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_d367c1252a76d40749532d4d537508f7d2ea6632.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_59219cec0190a9a4ae4c5be64d61cd0b06ef2197.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_1e8b0c84c39da6924a252a9f6eae3e48917ad37b.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_252964f47b20dbe8d1eaf9c92f7c6c39c2970dc3.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_36b8b46d4c156ae0ed212f69e3d63143b6202d31.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_cade59d72bfdc292771e2dd1fe30cdacfa3e640c.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_93121f622fbc401d5ab8288e61e5ef95604db85c.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_cff464ba281c89a685a9239b4d57b06e9f4e1007.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_8328662f216b62634508c17362e0da83b205b7ff.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_6d02b540a0d4a42a19a7fdc9f233b509918bd0ad.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_6ea1c01fbf2c58b1ab8d3feb86ceb0314d4f1496.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_8ff9ff55561fc1bff34015742647b50cc47311dc.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_ab6638b0b0e626eaa51aea0381cd74dc7b3802de.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_2a15c04d11b2c56931ecdacc41cce032cccf23bb.116x65.jpg?t=1715191231,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1818450/ss_7549f256e00225d375bc1398c1f968ff3c1fbe87.116x65.jpg?t=1715191231",steam
They Are Billions,https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_7_7_7000_150_8,2019년 6월 19일,"기지 건설,개척 시뮬레이션,전략,좀비,생존",They Are Billions,They Are Billions는 세계 종말 후의 행성에서 펼쳐지는 스팀펑크 전략 게임입니다. 얼마 남지 않은 인류를 몰살시키려는 수십억 명의 감염자들에 맞서 생존하기 위해 식민지를 건설하고 방어하십시오. 좀비 종말 이후 인류의 운명은?,Numantian Games,Numantian Games,https://steamcdn-a.akamaihd.net/steam/apps/644930/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_6df3b09ed1be7b6e7d3db4d89cddba9709c3cf1e.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_c886762978b9088bacd9d1b69681f5b2fe40ad8b.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_e53b2c7d2d71caa35c95653d10e9dda925d1c9a6.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_6585e02470091ca84b8dcd3a3079976ad197fbcc.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_e34e580ea478bdc88935d3fac6b5df5319832ff7.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_507057a725883d22e643ca54da6219bdbaa077b2.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_b389baab5bedc42d0a4dcbfa13738914a5f12183.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_c22cdb6b95177b1c406f36acd755bd68cfc45e13.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_4c32c120efcf58bac44ae8316f22a1b2a722185f.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_932f662211434939a57ccdb76bb739166742cd12.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_19bfd289a70f4076a69ec6e6734377779be5545c.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_a00653eeaee1fceba207426ca93ccc13ea5c46a7.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_997b104c194f3d2627f8471bd51020ed16523727.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_5a6c3c13ddf90b45481a49eb5fa14df542158658.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_6f59817caddc20fab4bd2b3e5ceed4d8fa27d494.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_b48a595ba19bc1290cec6ac91eb10c0aea1fc753.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_7bad76a955454c67b3407c22694573ab13288351.116x65.jpg?t=1595631876,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/644930/ss_3590cb48794c93c85a15d7e90b474e8361be3519.116x65.jpg?t=1595631876",steam
Risk of Rain 2,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_7000_150_8,2020년 8월 11일,"3인칭 슈팅,액션 로그라이크,멀티플레이어,협동",Risk of Rain 2,"기괴한 괴물들과 싸우며 혼돈스러운 외계 행성을 탈출하세요. 친구들과 함께 해도 되고, 혼자 해도 좋습니다. 전리품들을 놀라운 방식으로 조합하고 각 캐릭터를 마스터하여 처음 불시착할 때 공포스러워했던 바로 그 존재가 되세요.",Hopoo Games,Gearbox Publishing,https://steamcdn-a.akamaihd.net/steam/apps/632360/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/ss_2bb49071317f7b241a527cf6e7aabd2cb6af055b.116x65.jpg?t=1699992764,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/ss_a3f57f281813cb51cb5d919701470acb962ff297.116x65.jpg?t=1699992764,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/ss_328d6fcb223f848c2a1047bb86702c4175d92317.116x65.jpg?t=1699992764,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/ss_dc777b5c583794c99440b196cd1d26884fb1720b.116x65.jpg?t=1699992764,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/ss_0377ff24b4d60db6a38ddc0824b7f308890b9231.116x65.jpg?t=1699992764,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/ss_85548e86c50ff654c6a49235ea686a956f8ee9ec.116x65.jpg?t=1699992764",steam
Let's School,https://store.steampowered.com/app/1937500/Lets_School/?snr=1_7_7_7000_150_8,2023년 7월 27일,"경영,도시 건설,전략,시뮬레이션,샌드박스",Let's School,"모교의 부흥을 위한 책임을 맡게 된 교장의 짜릿한 역할에 풍덩 빠져보세요! 단순히 벽돌과 시멘트로 된 건물을 넘어서, 선생님을 훈련시키고 학생들을 모집하고 동아리를 개척하세요. 여러분의 학교를 특별한 교육의 전당으로 만들어보세요! Let's school! 해볼까요?",Pathea Games,Pathea Games,https://steamcdn-a.akamaihd.net/steam/apps/1937500/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_a439663c5766878f06e044c519a1876664cf696b.116x65.jpg?t=1715247665,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_179fb779fcda0bf9bbca0a63d6941d4cc4125436.116x65.jpg?t=1715247665,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_6a0a76d8ccf442c3bb1e4c910196efa38423a02c.116x65.jpg?t=1715247665,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_820807e3aef0b93bd43371408bbd9eeb0bc99c70.116x65.jpg?t=1715247665,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_5fec37719cc246c572d25a3c427d7ac89a50c9a4.116x65.jpg?t=1715247665,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_95c93b0ff536d7dfe258673c88bf4bc7dea429f3.116x65.jpg?t=1715247665,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1937500/ss_9c7fff7f1e7ef533a6760282c5eaa00a63590471.116x65.jpg?t=1715247665",steam
콜 오브 듀티®,https://store.steampowered.com/app/1938090/_/?snr=1_7_7_7000_150_8,2022년 10월 28일,"1인칭 슈팅,멀티플레이어,슈팅,액션,군사","Call of Duty®,콜 오브 듀티®","콜 오브 듀티®: 모던 워페어 III 2023, 콜 오브 듀티®: 모던 워페어 II 2022 및 콜 오브 듀티®: 워존의 고향인 콜 오브 듀티® 본부에 오신 것을 환영합니다.",Sledgehammer Games,Activision,https://steamcdn-a.akamaihd.net/steam/apps/1938090/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_1fb36c858971c163a14a466049835bfbb98a3ebf.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_b89cdd1e32c9e19d1571589faaa9db8ef3ff6a22.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_0655666903851c360dfafa25141d8e5101d263c5.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_d7bd02fc1e90724b616d5f9a5b9606f34ef704a9.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_c372c7f694bb699fc08802cb32d6ee59e21b9cf4.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_3a14a6080ee0d77b4437944e59e0da20671d035e.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_4fb97a999c78ea49d260aa9276af03401fd4b99d.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_4b82b6138a5a79606d363df220481fdd7826f125.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_a2daabbc8fef9886c412cefc4dc6c23535050c96.116x65.jpg?t=1712591572,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1938090/ss_030f6542895aefb4e96993c636b359ad231d50f6.116x65.jpg?t=1712591572",steam
Arma 3,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_7000_150_8,2013년 9월 12일,"군사,액션,멀티플레이어,시뮬레이션,슈팅",Arma 3,"거대한 군사 샌드박스 속에서 진정한 전투를 경험하세요. Arma 3는 다양한 싱글플레이어와 멀티플레이어 콘텐츠, 20여 개의 차량, 40여 개의 무기, 무한한 콘텐츠 창작의 기회를 제공하는 PC 최고의 군사 게임입니다. 실감나고, 다채롭고, 광활한 환경의 Arma 3가 당신을 진짜 전쟁의 한복판으로 초대합니다.",Bohemia Interactive,Bohemia Interactive,https://steamcdn-a.akamaihd.net/steam/apps/107410/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_e9220742c6b786efc9145c58ce7b276af891e9d5.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_089dfd05121614ca3a887f49e89c14fa210847ac.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_d6ac5531165a238499e1bf7ad71ee23dcfcbcf78.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_1e3cd97e67e8bba23a6bb40d41a543b1b29c9b5a.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_d705d125b0bf4e8d934c8743ef1a26e851fe6cf4.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_f394156f7bd6f643c004d6810b63547277f44fb0.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_de3d649293bf035ae7c1d9cf35235ea2ec36beee.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_c7a3a29b107c344adcf2be2763f9bdfde4be34ba.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_e0f3abf9ac5db034005a00cf6b1adfbd611d2a2f.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_d8b72126ea6b20eabf618bec392f8f5c3f29cc42.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_3d64604ff3eb6be5d3c2c47af31422288e4c16ce.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_7317d60c9e4826c9ac99aa5e68e164f7945b4072.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_c1cef75469b43b000665c31aae03df07039757ab.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_5147f5ec1771c8e61113ef4e407ea5e8b8005c46.116x65.jpg?t=1709821285,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/107410/ss_da4192c0b4384af7c0c88bee003cdbbe3517e909.116x65.jpg?t=1709821285",steam
