title,url,date,tag,K-E,description,company,publisher,thumb,screenshot,platform
STAR WARS™: The Old Republic™,https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_7000_150_21,2020년 7월 21일,"무료 플레이,MMORPG,멀티플레이어,오픈 월드",STAR WARS™: The Old Republic™,"Star Wars™: The Old Republic™은 부분 유료화 MMORPG로, 여러분만의 스토리를 펼칠 수 있는 연대기의 중심으로 여러분을 데려갑니다. 제다이, 시스, 현상금 사냥꾼 등, 고전 영화보다 3000년 이상 앞선 오래전 멀고 먼 은하계 내 Star Wars의 상징적인 캐릭터로 플레이하세요.",Broadsword,Electronic Arts,https://steamcdn-a.akamaihd.net/steam/apps/1286830/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_582b40b9dea8273368826afd425f541aa859bbe6.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_23613f91ee765a1e4e647a183261aeb2ecbc2c86.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_b9bf304772e010c91eac9cf8faa791c48749b076.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_9d45b0d2ab79c146dd7dd2751c21dae4e153d280.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_5c4a1d2c32449d7f59a91e7087d4b37db49148c3.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_40af51178b6f01c61267e151ff1949eb5b19807a.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_b6fafdde1787fe13de505c586399f4a6a8611e66.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_4c0af2dc7d9d63dee90cb5a8d1ebbe4d630ca70f.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_18f1059caf837ef615b805579028ed3dc4198e0a.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_27b663be667a4124acec815f4737b9781aa6cb17.116x65.jpg?t=1695312107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/ss_7efd21f439211b2b44c4893172170a3316330bda.116x65.jpg?t=1695312107",steam
They Are Coming,https://store.steampowered.com/app/2630080/They_Are_Coming/?snr=1_7_7_7000_150_21,2023년 10월 30일,"앞서 해보기,액션 로그라이크,타워 디펜스,슈팅",They Are Coming,"They Are Coming은 로그라이크, 타워 디펜스 및 기지 건설을 측면 슈팅 슈터 형식으로 결합한 혼합 게임입니다. 이 게임은 순수한 즐거움을 위한 간단한 게임 경험을 제공합니다.",OnHit Developments,OnHit Developments,https://steamcdn-a.akamaihd.net/steam/apps/2630080/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_f5b59bb1c6f518d01dfb41408a5522f7452b3806.116x65.jpg?t=1698762916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_1489f45644caac0724fe991cf0b9cf34f967835c.116x65.jpg?t=1698762916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_886be6e1f03c0bfcc60810ffaa051c83ccdd73c1.116x65.jpg?t=1698762916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_7e8123f7ba186f185d6c584c1d3dbc09156c42a2.116x65.jpg?t=1698762916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_f7db770d42f9c76b45e4460253e85170beb323f2.116x65.jpg?t=1698762916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_5ced78397873361b8146bbda2819286455dca810.116x65.jpg?t=1698762916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2630080/ss_474546d83285c7963df8924916f3aceb206c5702.116x65.jpg?t=1698762916",steam
무쌍OROCHI3,https://store.steampowered.com/app/831560/OROCHI3/?snr=1_7_7_7000_150_21,2018년 10월 16일,"액션,핵 앤 슬래시,무쌍,애니메이션,협동","WARRIORS OROCHI 4,무쌍OROCHI3",택티컬 액션 게임 「무쌍OROCHI」 시리즈의 결정판 『무쌍OROCHI3』에 더 많은 즐길거리를 담은 추가 콘텐츠 『무쌍OROCHI3 Ultimate 업그레이드 팩』을 플러스. 궁극의 「무쌍OROCHI」가 지금 완성된다!,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",https://steamcdn-a.akamaihd.net/steam/apps/831560/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_a8734519aa8d253f54d4336ce6ce592c76d5f416.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_d6e99679d2deac213724ce208fd50941b40169df.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_dbf11d7b87966a499576dc79bdd91d1f0b704e6c.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_ad2284ac3be32b78bcf0435403c7f38d77bbc467.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_6d9ffe8f1ba528175dd0e644f312b7f387881651.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_b1b5e6b3f6c37e8bf391af90fcd307d29912a84b.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_eb52fbae1274435540d5f05e0910155a629ba960.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_a5c71b30fa0ad5ace2df86e61ae1c88c7ca5ab67.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_1d7112c35e9d6a83d18e8a00c66acec5be360bdf.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_7cc70e5a68365086b92ce2cc9eb2ecabf1c1e43e.116x65.jpg?t=1709698593,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/831560/ss_7e6194098ed93c28da5bac30f9fbdbf89b65f5d3.116x65.jpg?t=1709698593",steam
Railroads & Catacombs,https://store.steampowered.com/app/1156060/Railroads__Catacombs/?snr=1_7_7_7000_150_21,2023년 9월 15일,"앞서 해보기,로그라이크 덱빌딩,턴제 전술,전략",Railroads & Catacombs,"In this exciting Card Building Roguelike game you create your cards from scratch adding different upgrades. Build your train, explore this mad land and face fearsome bosses. Discover infinite synergies. How far will you go?",MadRails,IndieArk,https://steamcdn-a.akamaihd.net/steam/apps/1156060/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_ea72c868fec64df47f53f6bc78b091a2635292bc.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_7e4a12eaa74890c37167b7bcf075a89413852c16.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_4d9bba248f2649fdf2c2fb1da2ca2ea2efe6db50.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_20f7bdd521febb09092a49a6e169a7e0054d4a3c.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_dcf700358b6ef3136d67de80a71a969f6fbaa77b.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_1c6b8bab03fedd0993c5fdf1a1402b744e2df83b.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_0e7518d1c4fae5039662f1549138bb8de3d25a14.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_a9050945de590af94d05225a6bf1b4767d0d3dfb.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_e875e1fd1046d9fcd2c3cba2e207d3ab8fc03aac.116x65.jpg?t=1712401311,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1156060/ss_a5a7c8dbded1c95e0a247d536468937f2231bfcf.116x65.jpg?t=1712401311",steam
FINAL FANTASY® XIII-2,https://store.steampowered.com/app/292140/FINAL_FANTASY_XIII2/?snr=1_7_7_7000_150_21,2014년 12월 12일,"JRPG,RPG,판타지,여주인공,싱글 플레이어",FINAL FANTASY® XIII-2,"FINAL FANTASY XIII-2는 FINAL FANTASY XIII의 정통 속편입니다. 탐색 요소를 강화한 필드, 몬스터를 동료로 삼아 전략성을 높인 배틀, 시간여행을 테마로 펼치는 스토리 등 다양한 진화를 이루었습니다.",Square Enix,Square Enix,https://steamcdn-a.akamaihd.net/steam/apps/292140/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292140/ss_1d21798ee9b510a20565767f08cc8a34c7fa710f.116x65.jpg?t=1633655527,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292140/ss_31b718794f7b5a11debc272c4e2bd7455da45094.116x65.jpg?t=1633655527,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292140/ss_46c526a54ffc626af65295a7bae744e0bd233fb1.116x65.jpg?t=1633655527,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292140/ss_a6a07510308cf530ff97696767d97140033298f6.116x65.jpg?t=1633655527,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292140/ss_4be7ac0465ea692becbc1681838fc55990700619.116x65.jpg?t=1633655527,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292140/ss_391c47c9429de12d5b79d75a3da1fb138ab6f6d2.116x65.jpg?t=1633655527",steam
Parkitect,https://store.steampowered.com/app/453090/Parkitect/?snr=1_7_7_7000_150_21,2018년 11월 30일,"릴랙싱,시간 관리,레벨 에디터,전체 이용가",Parkitect,Parkitect는 놀이공원 건설 및 운영 비즈니스 시뮬레이션 게임입니다! 최고의 클래식 테마파크 게임 스타일에 많은 새로운 기능과 콘텐츠가 추가되었습니다.,Texel Raptor,Texel Raptor,https://steamcdn-a.akamaihd.net/steam/apps/453090/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_65402fb6ddb88851d4098c7d4982dfb3c46128b6.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_9e35102c447084f1f7ae3b4d2c3ba1012567b591.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_3c7525c7155726de6a1406dc1732b6de66723f1b.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_d4fb11179d0176051e61d55f5a041a7454bdc3fa.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_8c29e773f840994280aa53eb56782483d8ec1ed7.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_0072fc7f1f9841c6b1ae63f0b347e16aba82b533.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_fb347e9e897df08566347b60c0a93d581dfbb7b3.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_e03fa3e3e2cbcc0f2b1cba355b985469fd9808a3.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_6d76fdf8921e74dc3cdde792e68e187dbca6663d.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_1a111d3a9f3ad9e4d2253cddd2ba93f06b1dd6c0.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_590d23401e417a892948c2e10893614e4bb453e7.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_3d0d05e45e2c48453ecaec172593dceab56d32c1.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_eb8173ff4c182ece6b02f2217f51fa42265495e4.116x65.jpg?t=1703236760",steam
Thymesia,https://store.steampowered.com/app/1343240/Thymesia/?snr=1_7_7_7000_150_21,2022년 8월 19일,"소울라이크,고난이도,다크 판타지,싱글 플레이어",Thymesia,"Thymesia는 빠르게 진행되는 전투와 다양한 역병을 무기로 활용하는 시스템을 갖춘 잔혹한 액션 RPG입니다. 죽음의 그림자가 짙어지는 왕국에서 ""Corvus""라는 신비로운 캐릭터로 플레이하세요. 역병으로 적을 처치하고, 잃어버린 기억 속에서 진실을 되찾으세요.",OverBorder Studio,Team17,https://steamcdn-a.akamaihd.net/steam/apps/1343240/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_799361600fa00f88bfd5b4b3e1909869db1b4a96.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_8c5e1789547e5808e586296fd065c6840da173f5.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_9aa5a7e3818567986f657241ae6b0ff05e24fb4d.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_fd04d9a2306745ca056f8d0264c19d26436976f7.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_1d30aa3651207ff3aca850df3c4bffcd075592e8.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_f51285ebed2867ab753d0f56878b99903a1cca90.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_50e0d97e14d8b64ffba17194b3898171ff570594.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_9e30684182468d748be13139853496a0da8bf52e.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_26ab54e9ae178a7029c5ead7cb482e2bcf54e129.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_ea31e0c9c99bd3544697ac886d645a1e9f8b1292.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_fa2ddc761bf936f52c145e684070f4954d86b76a.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_25036d343283a30d5db2dfd1420ef1c1068c238c.116x65.jpg?t=1683278336,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343240/ss_4de40bf6885b59dac3088c4d0e3b08cee8dce141.116x65.jpg?t=1683278336",steam
Bonfire Peaks,https://store.steampowered.com/app/1147890/Bonfire_Peaks/?snr=1_7_7_7000_150_21,2021년 9월 30일,"퍼즐,소코반,고난이도,인디,어드벤처,복셀",Bonfire Peaks,이 아름다운 복셀 아트 퍼즐 섬에서 소지품을 불태우세요.,Corey Martin,Draknek & Friends,https://steamcdn-a.akamaihd.net/steam/apps/1147890/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_30a07e1471f9f446d0503231fe7dfcf32f7ba1e5.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_cb43d009ab5118c4353aac49b31cbf1371507876.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_550565a7e5ecf2320279c7fa54b98c1a622331b0.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_5d00fcb5f4d1ddc5c8a8e8e44a6e9d2f2d363abf.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_42b511f2e4e24bd363312e651d62d889fcf8fc06.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_d16747ca6eb3a075a4c211003f5a4b0f5145ac13.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_ffac976c59cb4b90bd8b24c8874367ee0842d0f0.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_83244cafad75ae496e4401b64466ffd2e188d5be.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_89753cd5fba3004a85c03c5dc3ed8d9138bfe252.116x65.jpg?t=1712656408,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147890/ss_6636475f0c2c2461601d34a9c97ad55d2934736f.116x65.jpg?t=1712656408",steam
Agent A: A puzzle in disguise,https://store.steampowered.com/app/801480/Agent_A_A_puzzle_in_disguise/?snr=1_7_7_7000_150_21,2019년 8월 30일,"논리,포인트 앤드 클릭,탐험,히든 오브젝트",Agent A: A puzzle in disguise,"에이전트 A, 본부에서 새로운 임무가 내려왔습니다. 루비 라 로그로 알려진 적의 스파이가 우리의 비밀 요원을 노리고 있습니다. 당신의 임무는 그녀를 찾아 체포하는 것입니다.",Yak & Co,Yak & Co,https://steamcdn-a.akamaihd.net/steam/apps/801480/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_9843432336a7a1aa12e2421030cc156f2c9f527d.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_c632b6e03f2ea3bbdb5359b0ff0549b63315b18b.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_f085fab8bb6ef79e847a0eb21b02fdb9398b58b9.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_ad7d37020e21e0ccf734660498354486b600e479.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_599a3ee938013e5692c44e31c735bd5eb10d3afd.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_68cc59a4af14028f423ed7f5104995274919f3ff.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_1f9d7c6491230787de103acdabeb48674a493815.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_c4a9458f1d835c3d0d16c25fc376718d9adfaf90.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_15085bdca618793301ea4f5272994bac343a1c18.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_e74268aab8b513d78e9cab965f980f3a0e5fe922.116x65.jpg?t=1693960889,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801480/ss_c76c9b6c7c4ebe4943e3b417a0e501f379804f37.116x65.jpg?t=1693960889",steam
Dungeon Warfare 2,https://store.steampowered.com/app/698540/Dungeon_Warfare_2/?snr=1_7_7_7000_150_21,2018년 7월 6일,"전략,인디,타워 디펜스,2D,픽셀 그래픽",Dungeon Warfare 2,던전을 방어하라! 던전의 지배자가 되어 치명적인 트랩들과 교활한 장치들로 욕심많은 모험가와 영웅 지망생들을 막아 내세요.,Valsar,Valsar,https://steamcdn-a.akamaihd.net/steam/apps/698540/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698540/ss_755883033925b7b0f77f26e97015727dd4e70ab9.116x65.jpg?t=1579256142,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698540/ss_583a4eca51a3b5b7b6a623313b9be004c94ac775.116x65.jpg?t=1579256142,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698540/ss_a59a48d7f1eb89b6cec3b76d159158a377235663.116x65.jpg?t=1579256142,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698540/ss_e5045c58733cbe1a2bdf60b56a720e764829c616.116x65.jpg?t=1579256142,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698540/ss_425c8455f2c80efa38e005b2756d8360f8b28e8e.116x65.jpg?t=1579256142,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698540/ss_af7f63166a69f27312ba6cf619159d6c30b9d809.116x65.jpg?t=1579256142",steam
