title,url,date,tag,K-E,description,company,publisher,thumb,screenshot,platform
,https://store.steampowered.com/app/1995810/Life_is_not_Auto/?snr=1_7_7_7000_150_26,,"리듬,퀵타임 이벤트,귀여운,고난이도,생존",Life is not Auto,"""LIFE IS NOT AUTO""는 리듬 + 생존 기반의 타이밍 게임 입니다. 여러분은 수동으로 장기를 컨트롤해 캐릭터의 생명을 유지하여 일생에 이르도록 합니다.",Bold Fish,BD Games,https://steamcdn-a.akamaihd.net/steam/apps/1995810/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_1195ec4d69b8ae37c0a99ab24be65e2f869e274e.116x65.jpg?t=1706929123,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_546f6fc1db0fa4daf9299160d645fee3581e79ee.116x65.jpg?t=1706929123,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_d5f65acd78c149d5d918e0c84d8fd59b17db2730.116x65.jpg?t=1706929123,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_f0c8dda0714901c5f0221bffb244f1d150455319.116x65.jpg?t=1706929123,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_7fb73ed03b2ac3c2ac69809596dbcd7eb2eef650.116x65.jpg?t=1706929123,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_618b877c2693bcdd2a515214373d8671902f7dfe.116x65.jpg?t=1706929123,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1995810/ss_b20f02c7469ef0776d79c4cc5e7f66201a24df74.116x65.jpg?t=1706929123",steam
WRC 7 FIA World Rally Championship,https://store.steampowered.com/app/621830/WRC_7_FIA_World_Rally_Championship/?snr=1_7_7_7000_150_26,2017년 9월 15일,"레이싱,자동차 시뮬레이션,멀티플레이어,운전",WRC 7 FIA World Rally Championship,"WRC의 13개 랠리와 충실하게 재현한 경기장을 직접 달려 보세요. 챔피언십에 참가한 최고의 드라이버가 되어 신형 자동차의 운전석에 앉아 보세요. 혼자서나 온라인으로나 Epic Stages에 도전하고, 주간 도전에 참여하고, 프로 레이서처럼 WRC를 경험하세요!",KT Racing,Nacon,https://steamcdn-a.akamaihd.net/steam/apps/621830/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_90f8721046ce69df294e409750428fa1cbc67f15.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_26268247eff23a38484ac472afc53cc2a163a671.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_2f84cbc4ca27d8f6439bd4b1c5cb087c937d7714.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_9d5cf66652c5d4d4a37a7ffc632c24ec21bebac2.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_fe6f44dcf2e44aa063e2f239c43f3948fabf053f.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_2f21100fb3858af185bbd53bfceb8061398b944f.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_8e37e53f4187ec8d7e61da7196fe26249f7b1abf.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_cdcc9d78c095ffd17b2f4ca979b080912312d8c9.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_58d5ee1340999655f5fe0100c565224ebafa8268.116x65.jpg?t=1592484786,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/621830/ss_56dcbb3fabb5c41db026c91c824896a445cff0bc.116x65.jpg?t=1592484786",steam
,https://store.steampowered.com/app/1454970/_/?snr=1_7_7_7000_150_26,,"선택의 중요성,자신이 선택하는 모험,퀵타임 이벤트","New Tales from the Borderlands,뉴 테일즈 프롬 더 보더랜드","마음씨 착한 과학자 아누, 그녀의 야심차고 '영리한' 오빠 옥타비오, 그리고 거침없이 싸우는 프란의 운명을 결정하세요. 총 5챕터에 걸친 스릴넘치는 온갖 역경을 헤쳐나가세요!",Gearbox Software,2K,https://steamcdn-a.akamaihd.net/steam/apps/1454970/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_1ea0549f4a38156e996b49fa9bfc4c4dbf4b749c.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_75dccb2226724fd7484514d4c9f83f719dbe8762.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_497338b4b49bcba0dde9b8abf8235e63bf51e0f0.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_fbe47887c3667e8922a6e03058115a8395096d7d.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_0cff38969884a0dcebf9513cc72e5881580338a5.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_08a749a0aebd6809770612eebdcde4bf33d6146d.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_3196c51621ccfd9864fd69249f4ce88c137459f0.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_59f7a978f5872366a5e4bd1a221b6865ada93c54.116x65.jpg?t=1693524305,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1454970/ss_4e59a6e3fe56dad9e52261b55997f573d5022e53.116x65.jpg?t=1693524305",steam
,https://store.steampowered.com/app/1016790/West_of_Dead/?snr=1_7_7_7000_150_26,,"리플레이 가치,로그라이크,로그라이트,웨스턴",West of Dead,자유로운 트윈 스틱 컨트롤과 전술적 엄폐 전투가 결합된 빠른 진행의 엄폐 슈팅 게임에서 퍼거토리의 음울하고 황폐한 세계에 뛰어들어 보세요. 점진적으로 생성되는 미지의 사냥터에서 엄폐물 뒤에 숨어 총으로 적을 제압할 방법을 찾아내세요.,Upstream Arcade,Raw Fury,https://steamcdn-a.akamaihd.net/steam/apps/1016790/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_230adbc4b6a2e18fc5e42ec20cfae7168490f9a4.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_6855105e87c59951ed3aebea24f363f3bf726351.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_bab2eb9bb59d5507de37298bf52555285955f1c8.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_f9c42cfb148b4043f9b7dee23494e59528954a78.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_e8498620124ba6120f7f0c01d4b6bf2cc8f1fdd2.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_f17a385336afde04b9d238a1b1c5b8d4679a8e75.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_690043e4f97f43c49f95e9f5c10418e2ea0e5db5.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_38621ff765e73c6f8184514f594954835b094c00.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_5d3bc4ab6f41ebba8c9688968cac52fed56d330d.116x65.jpg?t=1709551327,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016790/ss_e99d2e4e7d100e50ab68aa6026521c9f3d213d8b.116x65.jpg?t=1709551327",steam
,https://store.steampowered.com/app/453090/Parkitect/?snr=1_7_7_7000_150_26,,"릴랙싱,시간 관리,레벨 에디터,전체 이용가",Parkitect,Parkitect는 놀이공원 건설 및 운영 비즈니스 시뮬레이션 게임입니다! 최고의 클래식 테마파크 게임 스타일에 많은 새로운 기능과 콘텐츠가 추가되었습니다.,Texel Raptor,Texel Raptor,https://steamcdn-a.akamaihd.net/steam/apps/453090/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_65402fb6ddb88851d4098c7d4982dfb3c46128b6.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_9e35102c447084f1f7ae3b4d2c3ba1012567b591.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_3c7525c7155726de6a1406dc1732b6de66723f1b.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_d4fb11179d0176051e61d55f5a041a7454bdc3fa.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_8c29e773f840994280aa53eb56782483d8ec1ed7.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_0072fc7f1f9841c6b1ae63f0b347e16aba82b533.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_fb347e9e897df08566347b60c0a93d581dfbb7b3.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_e03fa3e3e2cbcc0f2b1cba355b985469fd9808a3.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_6d76fdf8921e74dc3cdde792e68e187dbca6663d.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_1a111d3a9f3ad9e4d2253cddd2ba93f06b1dd6c0.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_590d23401e417a892948c2e10893614e4bb453e7.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_3d0d05e45e2c48453ecaec172593dceab56d32c1.116x65.jpg?t=1703236760,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/453090/ss_eb8173ff4c182ece6b02f2217f51fa42265495e4.116x65.jpg?t=1703236760",steam
,https://store.steampowered.com/app/985900/Young_Souls/?snr=1_7_7_7000_150_26,,"액션 RPG,핵 앤 슬래시,비뎀업,협동 캠페인",Young Souls,고아인 젠과 트리스탄은 미스터리한 과학자에 의해 거두어져 친자식처럼 보살핌을 받으며 살았습니다. 그러나 어느 날 과학자가 아주 이상한 상황에서 자취를 감추어 버렸습니다.,1P2P,The Arcade Crew,https://steamcdn-a.akamaihd.net/steam/apps/985900/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_75c7a039f1014097eebc40ed949bf2a7a5a4c40e.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_1da861fc14321bad0b910a3ebf04f1b39d45f601.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_39dec60dc287f4daae83f78634bf871ea4b4f7b4.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_fcbbdb6c0c5902c69e8400651811ecfb698b5120.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_56fdd09701a24bde8e48e3de995c5e5015e104b8.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_06997b48809a97559554f8bf0a1201d9006b6e14.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_88711b9ec903c9186ac4ca4df91bd8e320244dc0.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_f89350b944c4f229487dc7f846933786a2dd1aa6.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_bcb8ba4a42214649a02669cbfc11bda1ca00f3bd.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_b7ee95a05dfa33162ce2b9fcb0fa34641c60fcb9.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_22e4c7bfc308b87765b58e1fcc191abe8b04777f.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_e5a89014977d4044ddbb6a78ebfc31cd9582ae9a.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_ba634cfa53a9e6bf898a1a9dfcf29b8c56f3ec8e.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_9ff32aa6c9c0677da64aeb7b7481c0d519c9e426.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_b94aacc074f7308054b288e0699bfb6cc035a65b.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_b3b6d3bd3512c822f7514b550beed861b544f2ce.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_bb82e0ae430364444060e065f45960af27e694c8.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_878226bb0f65dd621d8efc6db45d9d99fb321b3b.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_e0c52b4a65066db787e96b69c4442285147c3c92.116x65.jpg?t=1706108032,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985900/ss_99d78b19619b173e34f2e56c6f95079ac50f60bb.116x65.jpg?t=1706108032",steam
,https://store.steampowered.com/app/2615010/Necromantic/?snr=1_7_7_7000_150_26,,"앞서 해보기,탄막 슈팅,핵 앤 슬래시,고딕,PvE",Necromantic,"밸러본 아카데미의 그저 그런 신입생으로 시작하여 학교와 전교생 앞에서 스스로의 가치를 증명하세요. 증명하지 못하면 뭐, Necromantic에서 기다리는 공포의 군단 앞에 계속 쓰러질 수 밖에요. 이 음침하고 위험한 판타지 탄막 세계에서 살아 남으려면 혼자서든 여럿이서든 끊임없이 학습하는 수밖에 없습니다.",Blinkmoon Games,Blinkmoon Games,https://steamcdn-a.akamaihd.net/steam/apps/2615010/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2615010/ss_df358af01e4eb0afee152595a73cb911ea972e73.116x65.jpg?t=1716398403,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2615010/ss_fb74f2365d9f93c9d52ee3ec9a2a586c2b364415.116x65.jpg?t=1716398403,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2615010/ss_f9958d6c57c1b3303178bef4c67f4ebe51592f6a.116x65.jpg?t=1716398403,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2615010/ss_694a65b85cc26709021ea80c89ff7d9edd221642.116x65.jpg?t=1716398403,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2615010/ss_dc23713291690f922d765f7ddf188e5ad7249414.116x65.jpg?t=1716398403,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2615010/ss_4f887aa51c6c68402754ef6ea5d94ccbea028130.116x65.jpg?t=1716398403",steam
,https://store.steampowered.com/app/262120/Toy_Soldiers_Complete/?snr=1_7_7_7000_150_26,,"타워 디펜스,액션,전략,캐주얼,인디,협동",Toy Soldiers: Complete,"Bring your toys to life in this action-packed, Toy Soldiers game bundle which includes the original Toy Soldiers, Toy Soldiers: Cold War, and all four DLC’s – Kaiser’s Battle, Invasion, Napalm and Evil Empire.",Signal Studios,Signal Studios,https://steamcdn-a.akamaihd.net/steam/apps/262120/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_d21a5dc62be8e8f3004c86ecc992cb9db9fdca4a.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_ee08f7f48390956ed886121f4ba9381048c20a51.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_00c1e81686421eddd25bee516a03a6e822ff10f6.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_ec99d49542dbc44ffd3bdbd188190db56d606364.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_bbd3e2f971b3bc033d7a0bb631454c050cb3021d.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_61cbdd69192d0be5725ecf60cca74ba954de15da.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_02eaaf437315a0546dac62e83b37ca2b14951e15.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_ee86af0d323f81c5cdd3ad40ba02a3b34fe615d6.116x65.jpg?t=1665711194,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262120/ss_1264dc2a702dac123fab921dda2818e1e193fb07.116x65.jpg?t=1665711194",steam
,https://store.steampowered.com/app/2410780/Goblin_Conqueror/?snr=1_7_7_7000_150_26,,"선정적인 내용,성인,누드,여주인공,어드벤처",Goblin Conqueror,"Kanami, a former Dragon Slayer who lost her job due to the extinction of dragons. Now, she has embraced her new job as a Monster Hunter, wholeheartedly committed to vanquishing goblins.",BanameiR,Hanabi Games,https://steamcdn-a.akamaihd.net/steam/apps/2410780/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2410780/ss_e3ad2f748b8dd337ccb716ec5042865276d39f25.116x65.jpg?t=1700216107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2410780/ss_e33e1c4b0ca655a0596cf7f0cbbdee2b35e1f219.116x65.jpg?t=1700216107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2410780/ss_2d088a17aa1ebe48c15254e2823a2317d4d1c6c3.116x65.jpg?t=1700216107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2410780/ss_4eb2fa87aad983b5e9dde2541fc66e06893d9c35.116x65.jpg?t=1700216107,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2410780/ss_5f231fc42310623f3786aa788d6a21990220adff.116x65.jpg?t=1700216107",steam
MONSTER HUNTER RISE + SUNBREAK 세트,https://store.steampowered.com/sub/692569/?snr=1_7_7_7000_150_26,2022년 6월 30일,"FMV,연애 시뮬레이션,자신이 선택하는 모험",Five Dates,"Five Dates는 예측할 수 없는 디지털 데이팅 세계에 대한 대화형 로맨틱 코미디입니다. 가능성 있는 5명의 여성과 매칭을 통해 Vinny는 물리적 접촉이 더는 불가능한 세상에서 선택 사항이 아닌 세상에서 친밀성과 이끌림, 유대감을 여전히 느낄 수 있는지를 탐색합니다.",Wales Interactive,Wales Interactive,https://steamcdn-a.akamaihd.net/steam/apps/1353270/library_600x900_2x.jpg,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_ae404a6968389a4cca081c7a439acac6abbc3689.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_8ccf793e474e499870eafaa662725e24d7040fd1.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_b561bc7648683f052cdd01d21df23885aee00aac.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_77720bf67763f4d5e21062a57a3cd8cff1e7573f.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_f9a0ce571f2bae4059a3dda7c3e0e74194dbd158.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_40fd01f9ac8d2ad2054484b976ec69ed60df8fb6.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_1e316f09612b7c4dc8030ee7708d269021b2c18b.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_3b11d974490c99834378cfdc28e095cbc2ba164c.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_4c75e9cbb01491fff2e8e84b679fbfcf4ae38716.116x65.jpg?t=1707927499,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1353270/ss_7a610d39abad49aca50a0fdce599f2bf5b01f037.116x65.jpg?t=1707927499",steam
